fighter,lore,cluster,fighting_style
ALEJANDRO PEREZ,"Born in the tough streets of their homeland, ALEJANDRO PEREZ discovered fighting as an escape from adversity. ALEJANDRO PEREZ brings a high-volume striking attack to every fight, throwing over 7.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ALEKSANDAR RAKIC,"With roots in their homeland, ALEKSANDAR RAKIC defied expectations to become a force in the octagon. ALEKSANDAR RAKIC brings a high-volume striking attack to every fight, throwing over 12.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ALEKSEI OLEINIK,"From humble origins, ALEKSEI OLEINIK earned every opportunity on their journey to the UFC. ALEKSEI OLEINIK brings a high-volume striking attack to every fight, throwing over 6.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ALESSIO DI CHIRICO,"From humble origins, ALESSIO DI CHIRICO earned every opportunity on their journey to the UFC. ALESSIO DI CHIRICO brings a high-volume striking attack to every fight, throwing over 9.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ALESSIO SAKARA,"From humble origins, ALESSIO SAKARA earned every opportunity on their journey to the UFC. ALESSIO SAKARA brings a high-volume striking attack to every fight, throwing over 5.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
ALEX CACERES,"From humble origins, ALEX CACERES earned every opportunity on their journey to the UFC. ALEX CACERES brings a high-volume striking attack to every fight, throwing over 11.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
ALEX CHAMBERS,"Hailing from a small town, ALEX CHAMBERS grew up competing in underground circuits before making it to the big stage. In the octagon, ALEX CHAMBERS is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.5 significant strikes per minute with deadly accuracy.",1,
ALEX GARCIA,"From humble origins, ALEX GARCIA earned every opportunity on their journey to the UFC. ALEX GARCIA brings a high-volume striking attack to every fight, throwing over 5.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ALEX MORONO,"Hailing from a small town, ALEX MORONO grew up competing in underground circuits before making it to the big stage. ALEX MORONO brings a high-volume striking attack to every fight, throwing over 13.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ALEX OLIVEIRA,"Born in the tough streets of their homeland, ALEX OLIVEIRA discovered fighting as an escape from adversity. As a versatile fighter, ALEX OLIVEIRA maintains constant pressure with over 11.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
ALEX PEREIRA,"From humble origins, ALEX PEREIRA earned every opportunity on their journey to the UFC. As a versatile fighter, ALEX PEREIRA maintains constant pressure with over 35.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",9,
ALEX PEREZ,"Born in the tough streets of their homeland, ALEX PEREZ discovered fighting as an escape from adversity. ALEX PEREZ brings a high-volume striking attack to every fight, throwing over 8.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ALEX WHITE,"With roots in their homeland, ALEX WHITE defied expectations to become a force in the octagon. ALEX WHITE brings a high-volume striking attack to every fight, throwing over 11.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ALEXA GRASSO,"With roots in their homeland, ALEXA GRASSO defied expectations to become a force in the octagon. ALEXA GRASSO brings a high-volume striking attack to every fight, throwing over 13.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ALEXANDER GUSTAFSSON,"From humble origins, ALEXANDER GUSTAFSSON earned every opportunity on their journey to the UFC. ALEXANDER GUSTAFSSON brings a high-volume striking attack to every fight, throwing over 15.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ALEXANDER HERNANDEZ,"With roots in their homeland, ALEXANDER HERNANDEZ defied expectations to become a force in the octagon. ALEXANDER HERNANDEZ brings a high-volume striking attack to every fight, throwing over 13.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ALEXANDER VOLKANOVSKI,"Hailing from a small town, ALEXANDER VOLKANOVSKI grew up competing in underground circuits before making it to the big stage. As a versatile fighter, ALEXANDER VOLKANOVSKI maintains constant pressure with over 30.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",9,
ALEXANDER VOLKOV,"From humble origins, ALEXANDER VOLKOV earned every opportunity on their journey to the UFC. In the octagon, ALEXANDER VOLKOV is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 19.0 significant strikes per minute with deadly accuracy.",2,
ALEXANDER YAKOVLEV,"From humble origins, ALEXANDER YAKOVLEV earned every opportunity on their journey to the UFC. As a versatile fighter, ALEXANDER YAKOVLEV maintains constant pressure with over 4.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
ALEXANDR ROMANOV,"Hailing from a small town, ALEXANDR ROMANOV grew up competing in underground circuits before making it to the big stage. As a versatile fighter, ALEXANDR ROMANOV maintains constant pressure with over 9.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",5,
ALEXANDRE PANTOJA,"With roots in their homeland, ALEXANDRE PANTOJA defied expectations to become a force in the octagon. In the octagon, ALEXANDRE PANTOJA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 14.2 significant strikes per minute with deadly accuracy.",8,
ALEXIS DAVIS,"From humble origins, ALEXIS DAVIS earned every opportunity on their journey to the UFC. ALEXIS DAVIS brings a high-volume striking attack to every fight, throwing over 11.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ALI BAGAUTINOV,"Hailing from a small town, ALI BAGAUTINOV grew up competing in underground circuits before making it to the big stage. ALI BAGAUTINOV brings a high-volume striking attack to every fight, throwing over 9.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
ALISTAIR OVEREEM,"From humble origins, ALISTAIR OVEREEM earned every opportunity on their journey to the UFC. As a versatile fighter, ALISTAIR OVEREEM maintains constant pressure with over 25.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",1,
ALJAMAIN STERLING,"Born in the tough streets of their homeland, ALJAMAIN STERLING discovered fighting as an escape from adversity. As a versatile fighter, ALJAMAIN STERLING maintains constant pressure with over 14.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
ALONZO MENIFIELD,"Hailing from a small town, ALONZO MENIFIELD grew up competing in underground circuits before making it to the big stage. In the octagon, ALONZO MENIFIELD is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 7.4 significant strikes per minute with deadly accuracy.",8,
AMANDA COOPER,"With roots in their homeland, AMANDA COOPER defied expectations to become a force in the octagon. AMANDA COOPER brings a high-volume striking attack to every fight, throwing over 6.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
AMANDA LEMOS,"Born in the tough streets of their homeland, AMANDA LEMOS discovered fighting as an escape from adversity. In the octagon, AMANDA LEMOS is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.9 significant strikes per minute with deadly accuracy.",2,
AMANDA NUNES,"With roots in their homeland, AMANDA NUNES defied expectations to become a force in the octagon. In the octagon, AMANDA NUNES is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 16.0 significant strikes per minute with deadly accuracy.",8,
AMANDA RIBAS,"With roots in their homeland, AMANDA RIBAS defied expectations to become a force in the octagon. AMANDA RIBAS brings a high-volume striking attack to every fight, throwing over 13.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
AMIR ALBAZI,"Born in the tough streets of their homeland, AMIR ALBAZI discovered fighting as an escape from adversity. AMIR ALBAZI brings a high-volume striking attack to every fight, throwing over 8.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
AMIR SADOLLAH,"From humble origins, AMIR SADOLLAH earned every opportunity on their journey to the UFC. AMIR SADOLLAH brings a high-volume striking attack to every fight, throwing over 12.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ANDERSON SILVA,"Hailing from a small town, ANDERSON SILVA grew up competing in underground circuits before making it to the big stage. As a versatile fighter, ANDERSON SILVA maintains constant pressure with over 12.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",1,
ANDRE EWELL,"From humble origins, ANDRE EWELL earned every opportunity on their journey to the UFC. ANDRE EWELL brings a high-volume striking attack to every fight, throwing over 12.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
ANDRE FIALHO,"With roots in their homeland, ANDRE FIALHO defied expectations to become a force in the octagon. ANDRE FIALHO brings a high-volume striking attack to every fight, throwing over 13.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
ANDRE FILI,"Born in the tough streets of their homeland, ANDRE FILI discovered fighting as an escape from adversity. ANDRE FILI brings a high-volume striking attack to every fight, throwing over 11.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ANDRE MUNIZ,"With roots in their homeland, ANDRE MUNIZ defied expectations to become a force in the octagon. ANDRE MUNIZ excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 81% control time and 52% takedown accuracy, suffocating opponents with pressure and technique.",3,
ANDRE PETROSKI,"Hailing from a small town, ANDRE PETROSKI grew up competing in underground circuits before making it to the big stage. ANDRE PETROSKI brings a high-volume striking attack to every fight, throwing over 8.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
ANDRE SOUKHAMTHATH,"Hailing from a small town, ANDRE SOUKHAMTHATH grew up competing in underground circuits before making it to the big stage. ANDRE SOUKHAMTHATH brings a high-volume striking attack to every fight, throwing over 9.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ANDRE WINNER,"From humble origins, ANDRE WINNER earned every opportunity on their journey to the UFC. ANDRE WINNER brings a high-volume striking attack to every fight, throwing over 6.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ANDREA LEE,"Hailing from a small town, ANDREA LEE grew up competing in underground circuits before making it to the big stage. ANDREA LEE brings a high-volume striking attack to every fight, throwing over 13.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ANDREI ARLOVSKI,"With roots in their homeland, ANDREI ARLOVSKI defied expectations to become a force in the octagon. ANDREI ARLOVSKI brings a high-volume striking attack to every fight, throwing over 10.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ANDREW CRAIG,"Hailing from a small town, ANDREW CRAIG grew up competing in underground circuits before making it to the big stage. ANDREW CRAIG brings a high-volume striking attack to every fight, throwing over 7.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ANDREW HOLBROOK,"Hailing from a small town, ANDREW HOLBROOK grew up competing in underground circuits before making it to the big stage. In the octagon, ANDREW HOLBROOK is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 6.0 significant strikes per minute with deadly accuracy.",7,
ANDREW SANCHEZ,"From humble origins, ANDREW SANCHEZ earned every opportunity on their journey to the UFC. ANDREW SANCHEZ brings a high-volume striking attack to every fight, throwing over 20.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ANDY OGLE,"From humble origins, ANDY OGLE earned every opportunity on their journey to the UFC. ANDY OGLE brings a high-volume striking attack to every fight, throwing over 6.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
ANGELA HILL,"Born in the tough streets of their homeland, ANGELA HILL discovered fighting as an escape from adversity. ANGELA HILL brings a high-volume striking attack to every fight, throwing over 17.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ANTHONY BIRCHAK,"With roots in their homeland, ANTHONY BIRCHAK defied expectations to become a force in the octagon. ANTHONY BIRCHAK brings a high-volume striking attack to every fight, throwing over 7.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ANTHONY HAMILTON,"Hailing from a small town, ANTHONY HAMILTON grew up competing in underground circuits before making it to the big stage. ANTHONY HAMILTON brings a high-volume striking attack to every fight, throwing over 9.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ANTHONY HERNANDEZ,"With roots in their homeland, ANTHONY HERNANDEZ defied expectations to become a force in the octagon. In the octagon, ANTHONY HERNANDEZ is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 23.5 significant strikes per minute with deadly accuracy.",5,
ANTHONY JOHNSON,"From humble origins, ANTHONY JOHNSON earned every opportunity on their journey to the UFC. In the octagon, ANTHONY JOHNSON is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 15.2 significant strikes per minute with deadly accuracy.",1,
ANTHONY NJOKUANI,"With roots in their homeland, ANTHONY NJOKUANI defied expectations to become a force in the octagon. ANTHONY NJOKUANI brings a high-volume striking attack to every fight, throwing over 11.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ANTHONY PEROSH,"From humble origins, ANTHONY PEROSH earned every opportunity on their journey to the UFC. ANTHONY PEROSH brings a high-volume striking attack to every fight, throwing over 6.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ANTHONY PETTIS,"From humble origins, ANTHONY PETTIS earned every opportunity on their journey to the UFC. ANTHONY PETTIS brings a high-volume striking attack to every fight, throwing over 10.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ANTHONY ROCCO MARTIN,"From humble origins, ANTHONY ROCCO MARTIN earned every opportunity on their journey to the UFC. ANTHONY ROCCO MARTIN brings a high-volume striking attack to every fight, throwing over 10.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ANTHONY SMITH,"Hailing from a small town, ANTHONY SMITH grew up competing in underground circuits before making it to the big stage. In the octagon, ANTHONY SMITH is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 14.0 significant strikes per minute with deadly accuracy.",4,
ANTONI HARDONK,"With roots in their homeland, ANTONI HARDONK defied expectations to become a force in the octagon. As a versatile fighter, ANTONI HARDONK maintains constant pressure with over 9.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
ANTONINA SHEVCHENKO,"Born in the tough streets of their homeland, ANTONINA SHEVCHENKO discovered fighting as an escape from adversity. As a versatile fighter, ANTONINA SHEVCHENKO maintains constant pressure with over 9.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
ANTONIO CARLOS JUNIOR,"Hailing from a small town, ANTONIO CARLOS JUNIOR grew up competing in underground circuits before making it to the big stage. ANTONIO CARLOS JUNIOR brings a high-volume striking attack to every fight, throwing over 6.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
ANTONIO RODRIGO NOGUEIRA,"From humble origins, ANTONIO RODRIGO NOGUEIRA earned every opportunity on their journey to the UFC. ANTONIO RODRIGO NOGUEIRA brings a high-volume striking attack to every fight, throwing over 7.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ANTONIO SILVA,"Hailing from a small town, ANTONIO SILVA grew up competing in underground circuits before making it to the big stage. ANTONIO SILVA brings a high-volume striking attack to every fight, throwing over 9.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
AORIQILENG,"Born in the tough streets of their homeland, AORIQILENG discovered fighting as an escape from adversity. As a versatile fighter, AORIQILENG maintains constant pressure with over 11.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
ARIANE CARNELOSSI,"Hailing from a small town, ARIANE CARNELOSSI grew up competing in underground circuits before making it to the big stage. ARIANE CARNELOSSI brings a high-volume striking attack to every fight, throwing over 14.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ARIANE DA SILVA,"Hailing from a small town, ARIANE DA SILVA grew up competing in underground circuits before making it to the big stage. ARIANE DA SILVA brings a high-volume striking attack to every fight, throwing over 12.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ARMAN TSARUKYAN,"With roots in their homeland, ARMAN TSARUKYAN defied expectations to become a force in the octagon. In the octagon, ARMAN TSARUKYAN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 12.3 significant strikes per minute with deadly accuracy.",5,
ARMEN PETROSYAN,"From humble origins, ARMEN PETROSYAN earned every opportunity on their journey to the UFC. As a versatile fighter, ARMEN PETROSYAN maintains constant pressure with over 15.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
ARNOLD ALLEN,"Born in the tough streets of their homeland, ARNOLD ALLEN discovered fighting as an escape from adversity. ARNOLD ALLEN brings a high-volume striking attack to every fight, throwing over 26.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
ARTEM LOBOV,"From humble origins, ARTEM LOBOV earned every opportunity on their journey to the UFC. ARTEM LOBOV brings a high-volume striking attack to every fight, throwing over 11.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ASHLEE EVANS-SMITH,"Born in the tough streets of their homeland, ASHLEE EVANS-SMITH discovered fighting as an escape from adversity. ASHLEE EVANS-SMITH brings a high-volume striking attack to every fight, throwing over 11.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ASHLEY YODER,"From humble origins, ASHLEY YODER earned every opportunity on their journey to the UFC. ASHLEY YODER brings a high-volume striking attack to every fight, throwing over 10.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ASPEN LADD,"From humble origins, ASPEN LADD earned every opportunity on their journey to the UFC. ASPEN LADD brings a high-volume striking attack to every fight, throwing over 20.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
AUGUSTO SAKAI,"Hailing from a small town, AUGUSTO SAKAI grew up competing in underground circuits before making it to the big stage. AUGUSTO SAKAI brings a high-volume striking attack to every fight, throwing over 39.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
AUSTIN HUBBARD,"With roots in their homeland, AUSTIN HUBBARD defied expectations to become a force in the octagon. AUSTIN HUBBARD brings a high-volume striking attack to every fight, throwing over 11.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
AUSTIN LINGO,"From humble origins, AUSTIN LINGO earned every opportunity on their journey to the UFC. AUSTIN LINGO brings a high-volume striking attack to every fight, throwing over 11.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
BARTOSZ FABINSKI,"With roots in their homeland, BARTOSZ FABINSKI defied expectations to become a force in the octagon. As a versatile fighter, BARTOSZ FABINSKI maintains constant pressure with over 4.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
BATGEREL DANAA,"Hailing from a small town, BATGEREL DANAA grew up competing in underground circuits before making it to the big stage. BATGEREL DANAA brings a high-volume striking attack to every fight, throwing over 12.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
BEC RAWLINGS,"Born in the tough streets of their homeland, BEC RAWLINGS discovered fighting as an escape from adversity. BEC RAWLINGS brings a high-volume striking attack to every fight, throwing over 20.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
BELAL MUHAMMAD,"From humble origins, BELAL MUHAMMAD earned every opportunity on their journey to the UFC. BELAL MUHAMMAD brings a high-volume striking attack to every fight, throwing over 14.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
BEN NGUYEN,"Born in the tough streets of their homeland, BEN NGUYEN discovered fighting as an escape from adversity. BEN NGUYEN brings a high-volume striking attack to every fight, throwing over 7.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
BEN ROTHWELL,"Born in the tough streets of their homeland, BEN ROTHWELL discovered fighting as an escape from adversity. BEN ROTHWELL brings a high-volume striking attack to every fight, throwing over 11.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
BEN SAUNDERS,"Hailing from a small town, BEN SAUNDERS grew up competing in underground circuits before making it to the big stage. BEN SAUNDERS fights as a versatile fighter with a devastating body attack, systematically breaking down opponents with over 9.4 strikes per minute, targeting the body with surgical precision.",7,
BENEIL DARIUSH,"From humble origins, BENEIL DARIUSH earned every opportunity on their journey to the UFC. BENEIL DARIUSH brings a high-volume striking attack to every fight, throwing over 8.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
BENOIT SAINT DENIS,"From humble origins, BENOIT SAINT DENIS earned every opportunity on their journey to the UFC. As a versatile fighter, BENOIT SAINT DENIS maintains constant pressure with over 28.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
BENSON HENDERSON,"Born in the tough streets of their homeland, BENSON HENDERSON discovered fighting as an escape from adversity. BENSON HENDERSON brings a high-volume striking attack to every fight, throwing over 13.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
BETHE CORREIA,"Hailing from a small town, BETHE CORREIA grew up competing in underground circuits before making it to the big stage. BETHE CORREIA brings a high-volume striking attack to every fight, throwing over 16.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
BILL ALGEO,"From humble origins, BILL ALGEO earned every opportunity on their journey to the UFC. As a versatile fighter, BILL ALGEO maintains constant pressure with over 16.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
BILLY QUARANTILLO,"With roots in their homeland, BILLY QUARANTILLO defied expectations to become a force in the octagon. In the octagon, BILLY QUARANTILLO is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 83.8 significant strikes per minute with deadly accuracy.",6,
BJ PENN,"With roots in their homeland, BJ PENN defied expectations to become a force in the octagon. In the octagon, BJ PENN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.6 significant strikes per minute with deadly accuracy.",1,
BLAGOY IVANOV,"Hailing from a small town, BLAGOY IVANOV grew up competing in underground circuits before making it to the big stage. BLAGOY IVANOV brings a high-volume striking attack to every fight, throwing over 10.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
BOJAN VELICKOVIC,"With roots in their homeland, BOJAN VELICKOVIC defied expectations to become a force in the octagon. BOJAN VELICKOVIC brings a high-volume striking attack to every fight, throwing over 7.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
BRAD BLACKBURN,"With roots in their homeland, BRAD BLACKBURN defied expectations to become a force in the octagon. BRAD BLACKBURN brings a high-volume striking attack to every fight, throwing over 17.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
BRAD KATONA,"From humble origins, BRAD KATONA earned every opportunity on their journey to the UFC. In the octagon, BRAD KATONA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 14.5 significant strikes per minute with deadly accuracy.",8,
BRAD PICKETT,"From humble origins, BRAD PICKETT earned every opportunity on their journey to the UFC. BRAD PICKETT brings a high-volume striking attack to every fight, throwing over 9.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
BRAD RIDDELL,"Hailing from a small town, BRAD RIDDELL grew up competing in underground circuits before making it to the big stage. As a versatile fighter, BRAD RIDDELL maintains constant pressure with over 12.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
BRAD SCOTT,"With roots in their homeland, BRAD SCOTT defied expectations to become a force in the octagon. BRAD SCOTT brings a high-volume striking attack to every fight, throwing over 8.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
